date,commodity,geographic_level,district,state,min_price_rs_quintal,max_price_rs_quintal,modal_price_rs_quintal,source
2025-04-02,Potato,district,Hyderabad,Telangana,1366.6666666666667,2033.3333333333333,1833.3333333333333,CEDA
2025-04-03,Potato,district,Hyderabad,Telangana,1266.6666666666667,2066.6666666666665,1866.6666666666667,CEDA
2025-04-04,Potato,district,Hyderabad,Telangana,1233.3333333333333,2000,1766.6666666666667,CEDA
2025-04-05,Potato,district,Hyderabad,Telangana,1833.3333333333333,2366.6666666666665,2166.6666666666665,CEDA
2025-04-06,Potato,district,Hyderabad,Telangana,900,2250,1800,CEDA
2025-04-07,Potato,district,Hyderabad,Telangana,1200,2233.3333333333335,1900,CEDA
2025-04-08,Potato,district,Hyderabad,Telangana,1600,2250,1850,CEDA
2025-04-09,Potato,district,Hyderabad,Telangana,1350,1900,1550,CEDA
2025-04-10,Potato,district,Hyderabad,Telangana,1200,1900,1566.6666666666667,CEDA
2025-04-11,Potato,district,Hyderabad,Telangana,1333.3333333333333,2166.6666666666665,1800,CEDA
2025-04-12,Potato,district,Hyderabad,Telangana,1200,2000,1666.6666666666667,CEDA
2025-04-13,Potato,district,Hyderabad,Telangana,1150,2200,1800,CEDA
2025-04-14,Potato,district,Hyderabad,Telangana,1066.6666666666667,2000,1733.3333333333333,CEDA
2025-04-15,Potato,district,Hyderabad,Telangana,1200,2133.3333333333335,1800,CEDA
2025-04-16,Potato,district,Hyderabad,Telangana,1433.3333333333333,2266.6666666666665,1966.6666666666667,CEDA
2025-04-17,Potato,district,Hyderabad,Telangana,1333.3333333333333,2166.6666666666665,1833.3333333333333,CEDA
2025-04-18,Potato,district,Hyderabad,Telangana,1150,2150,1650,CEDA
2025-04-19,Potato,district,Hyderabad,Telangana,1266.6666666666667,2166.6666666666665,1833.3333333333333,CEDA
2025-04-20,Potato,district,Hyderabad,Telangana,1450,2150,1850,CEDA
2025-04-21,Potato,district,Hyderabad,Telangana,1500,2166.6666666666665,1933.3333333333333,CEDA
2025-04-22,Potato,district,Hyderabad,Telangana,1100,1966.6666666666667,1650,CEDA
2025-04-23,Potato,district,Hyderabad,Telangana,1600,2125,1900,CEDA
2025-04-24,Potato,district,Hyderabad,Telangana,1333.3333333333333,2133.3333333333335,1833.3333333333333,CEDA
2025-04-25,Potato,district,Hyderabad,Telangana,1350,2200,1850,CEDA
2025-04-26,Potato,district,Hyderabad,Telangana,1550,2200,1912.5,CEDA
2025-04-28,Potato,district,Hyderabad,Telangana,1150,2200,1800,CEDA
2025-04-29,Potato,district,Hyderabad,Telangana,1200,2133.3333333333335,1833.3333333333333,CEDA
2025-04-30,Potato,district,Hyderabad,Telangana,1050,2250,1800,CEDA
2025-05-02,Potato,district,Hyderabad,Telangana,1200,2133.3333333333335,1933.3333333333333,CEDA
2025-05-03,Potato,district,Hyderabad,Telangana,1333.3333333333333,2133.3333333333335,1933.3333333333333,CEDA
2025-05-04,Potato,district,Hyderabad,Telangana,600,2000,1600,CEDA
2025-05-05,Potato,district,Hyderabad,Telangana,1725,2225,2075,CEDA
2025-05-06,Potato,district,Hyderabad,Telangana,1875,2475,2275,CEDA
2025-05-07,Potato,district,Hyderabad,Telangana,1500,2100,1833.3333333333333,CEDA
2025-05-08,Potato,district,Hyderabad,Telangana,1625,2225,2000,CEDA
2025-05-09,Potato,district,Hyderabad,Telangana,1250,2150,1800,CEDA
2025-05-10,Potato,district,Hyderabad,Telangana,1266.6666666666667,1966.6666666666667,1700,CEDA
2025-05-11,Potato,district,Hyderabad,Telangana,833.3333333333334,1966.6666666666667,1683.3333333333333,CEDA
2025-05-12,Potato,district,Hyderabad,Telangana,1533.3333333333333,2200,1966.6666666666667,CEDA
2025-05-13,Potato,district,Hyderabad,Telangana,900,2200,1700,CEDA
2025-05-14,Potato,district,Hyderabad,Telangana,1800,1800,1800,CEDA
2025-05-15,Potato,district,Hyderabad,Telangana,2300,2300,2300,CEDA
2025-05-16,Potato,district,Hyderabad,Telangana,1500,2233.3333333333335,1933.3333333333333,CEDA
2025-05-17,Potato,district,Hyderabad,Telangana,1266.6666666666667,1900,1583.3333333333333,CEDA
2025-05-18,Potato,district,Hyderabad,Telangana,1150,1750,1500,CEDA
2025-05-19,Potato,district,Hyderabad,Telangana,1300,2166.6666666666665,1866.6666666666667,CEDA
2025-05-20,Potato,district,Hyderabad,Telangana,1266.6666666666667,1900,1616.6666666666667,CEDA
2025-05-21,Potato,district,Hyderabad,Telangana,1533.3333333333333,2166.6666666666665,1900,CEDA
2025-05-22,Potato,district,Hyderabad,Telangana,1633.3333333333333,2066.6666666666665,1933.3333333333333,CEDA
2025-05-23,Potato,district,Hyderabad,Telangana,1500,2133.3333333333335,1866.6666666666667,CEDA
2025-05-24,Potato,district,Hyderabad,Telangana,1100,2000,1650,CEDA
2025-05-25,Potato,district,Hyderabad,Telangana,1300,1850,1700,CEDA
2025-05-26,Potato,district,Hyderabad,Telangana,1600,2166.6666666666665,1966.6666666666667,CEDA
2025-05-28,Potato,district,Hyderabad,Telangana,1266.6666666666667,1900,1616.6666666666667,CEDA
2025-05-29,Potato,district,Hyderabad,Telangana,1500,2133.3333333333335,1900,CEDA
2025-05-30,Potato,district,Hyderabad,Telangana,1566.6666666666667,2200,1933.3333333333333,CEDA
2025-05-31,Potato,district,Hyderabad,Telangana,1433.3333333333333,2233.3333333333335,1933.3333333333333,CEDA
2025-06-01,Potato,district,Hyderabad,Telangana,1150,2100,1650,CEDA
2025-06-02,Potato,district,Hyderabad,Telangana,1566.6666666666667,2200,1900,CEDA
2025-06-03,Potato,district,Hyderabad,Telangana,1266.6666666666667,1900,1616.6666666666667,CEDA
2025-06-04,Potato,district,Hyderabad,Telangana,1950,2250,2050,CEDA
2025-06-05,Potato,district,Hyderabad,Telangana,1850,2250,2050,CEDA
2025-06-06,Potato,district,Hyderabad,Telangana,1200,2000,1500,CEDA
2025-06-07,Potato,district,Hyderabad,Telangana,1700,2100,1900,CEDA
2025-06-08,Potato,district,Hyderabad,Telangana,1200,2000,1600,CEDA
2025-06-09,Potato,district,Hyderabad,Telangana,1900,2250,2050,CEDA
2025-06-10,Potato,district,Hyderabad,Telangana,1600,2200,1850,CEDA
2025-06-11,Potato,district,Hyderabad,Telangana,1200,2000,1600,CEDA
2025-06-12,Potato,district,Hyderabad,Telangana,1200,1900,1500,CEDA
2025-06-13,Potato,district,Hyderabad,Telangana,1400,1750,1575,CEDA
2025-06-14,Potato,district,Hyderabad,Telangana,1966.6666666666667,2300,2100,CEDA
2025-06-15,Potato,district,Hyderabad,Telangana,1450,1850,1525,CEDA
2025-06-16,Potato,district,Hyderabad,Telangana,1850,2250,2000,CEDA
2025-06-17,Potato,district,Hyderabad,Telangana,1300,1900,1500,CEDA
2025-06-18,Potato,district,Hyderabad,Telangana,1500,1900,1650,CEDA
2025-06-19,Potato,district,Hyderabad,Telangana,1850,2200,1950,CEDA
2025-06-20,Potato,district,Hyderabad,Telangana,1500,1900,1700,CEDA
2025-06-21,Potato,district,Hyderabad,Telangana,1850,2150,1950,CEDA
2025-06-23,Potato,district,Hyderabad,Telangana,1800,2150,1950,CEDA
2025-06-24,Potato,district,Hyderabad,Telangana,1200,1900,1600,CEDA
2025-06-26,Potato,district,Hyderabad,Telangana,1850,2200,1950,CEDA
2025-06-27,Potato,district,Hyderabad,Telangana,1850,2250,2000,CEDA
2025-06-28,Potato,district,Hyderabad,Telangana,1850,2250,2000,CEDA
2025-06-29,Potato,district,Hyderabad,Telangana,1550,2000,1750,CEDA
2025-06-30,Potato,district,Hyderabad,Telangana,1300,2200,1700,CEDA
2025-07-01,Potato,district,Hyderabad,Telangana,2300,2300,2300,CEDA
2025-07-02,Potato,district,Hyderabad,Telangana,1300,1900,1500,CEDA
2025-07-03,Potato,district,Hyderabad,Telangana,1400,1850,1625,CEDA
2025-07-04,Potato,district,Hyderabad,Telangana,1750,2150,1850,CEDA
2025-07-05,Potato,district,Hyderabad,Telangana,1616.6666666666667,2033.3333333333333,1800,CEDA
2025-07-06,Potato,district,Hyderabad,Telangana,1200,1900,1500,CEDA
2025-07-07,Potato,district,Hyderabad,Telangana,1650,2100,1850,CEDA
2025-07-08,Potato,district,Hyderabad,Telangana,2300,2300,2300,CEDA
2025-07-09,Potato,district,Hyderabad,Telangana,1350,1850,1550,CEDA
2025-07-10,Potato,district,Hyderabad,Telangana,1300,2000,1600,CEDA
2025-07-11,Potato,district,Hyderabad,Telangana,1900,2150,1900,CEDA
2025-07-12,Potato,district,Hyderabad,Telangana,1300,2000,1600,CEDA
2025-07-13,Potato,district,Hyderabad,Telangana,1450,1900,1575,CEDA
2025-07-14,Potato,district,Hyderabad,Telangana,1700,2100,1850,CEDA
2025-07-15,Potato,district,Hyderabad,Telangana,1650,2000,1750,CEDA
2025-07-16,Potato,district,Hyderabad,Telangana,1200,1900,1500,CEDA
2025-07-17,Potato,district,Hyderabad,Telangana,1650,2050,1850,CEDA
2025-07-18,Potato,district,Hyderabad,Telangana,1250,1700,1450,CEDA
2025-07-19,Potato,district,Hyderabad,Telangana,1300,1900,1500,CEDA
2025-07-20,Potato,district,Hyderabad,Telangana,900,1900,1400,CEDA
2025-07-22,Potato,district,Hyderabad,Telangana,1650,2050,1800,CEDA
2025-07-23,Potato,district,Hyderabad,Telangana,1600,2050,1750,CEDA
2025-07-25,Potato,district,Hyderabad,Telangana,1400,1850,1575,CEDA
2025-07-26,Potato,district,Hyderabad,Telangana,1700,2000,1800,CEDA
2025-07-27,Potato,district,Hyderabad,Telangana,1300,2000,1600,CEDA
2025-07-28,Potato,district,Hyderabad,Telangana,2100,2100,2100,CEDA
2025-07-29,Potato,district,Hyderabad,Telangana,1500,1933.3333333333333,1716.6666666666667,CEDA
2025-07-30,Potato,district,Hyderabad,Telangana,1550,2000,1750,CEDA
2025-07-31,Potato,district,Hyderabad,Telangana,1800,2000,1900,CEDA
2025-08-01,Potato,district,Hyderabad,Telangana,1633.3333333333333,1966.6666666666667,1800,CEDA
2025-08-02,Potato,district,Hyderabad,Telangana,1600,1933.3333333333333,1766.6666666666667,CEDA
2025-08-03,Potato,district,Hyderabad,Telangana,1500,1900,1650,CEDA
2025-08-04,Potato,district,Hyderabad,Telangana,1550,1900,1700,CEDA
2025-08-05,Potato,district,Hyderabad,Telangana,1566.6666666666667,1900,1766.6666666666667,CEDA
2025-08-06,Potato,district,Hyderabad,Telangana,1733.3333333333333,1966.6666666666667,1833.3333333333333,CEDA
2025-08-07,Potato,district,Hyderabad,Telangana,1400,1900,1600,CEDA
2025-08-08,Potato,district,Hyderabad,Telangana,1550,1900,1700,CEDA
2025-08-09,Potato,district,Hyderabad,Telangana,1375,1900,1662.5,CEDA
2025-08-10,Potato,district,Hyderabad,Telangana,1366.6666666666667,1933.3333333333333,1733.3333333333333,CEDA
2025-08-11,Potato,district,Hyderabad,Telangana,1475,1975,1750,CEDA
2025-08-12,Potato,district,Hyderabad,Telangana,1250,1975,1650,CEDA
2025-08-13,Potato,district,Hyderabad,Telangana,1266.6666666666667,1933.3333333333333,1700,CEDA
2025-08-14,Potato,district,Hyderabad,Telangana,1450,1975,1825,CEDA
2025-08-15,Potato,district,Hyderabad,Telangana,1100,1900,1633.3333333333333,CEDA
2025-08-16,Potato,district,Hyderabad,Telangana,1500,1975,1800,CEDA
2025-08-17,Potato,district,Hyderabad,Telangana,1400,1950,1600,CEDA
2025-08-18,Potato,district,Hyderabad,Telangana,1500,1975,1800,CEDA
2025-08-19,Potato,district,Hyderabad,Telangana,1550,1950,1700,CEDA
2025-08-20,Potato,district,Hyderabad,Telangana,1333.3333333333333,1966.6666666666667,1733.3333333333333,CEDA
2025-08-21,Potato,district,Hyderabad,Telangana,1666.6666666666667,1966.6666666666667,1800,CEDA
2025-08-22,Potato,district,Hyderabad,Telangana,1475,1975,1750,CEDA
2025-08-24,Potato,district,Hyderabad,Telangana,1266.6666666666667,1933.3333333333333,1700,CEDA
2025-08-25,Potato,district,Hyderabad,Telangana,1533.3333333333333,2000,1833.3333333333333,CEDA
2025-08-26,Potato,district,Hyderabad,Telangana,1400,1950,1725,CEDA
2025-08-27,Potato,district,Hyderabad,Telangana,1266.6666666666667,1933.3333333333333,1733.3333333333333,CEDA
2025-08-28,Potato,district,Hyderabad,Telangana,1266.6666666666667,1966.6666666666667,1666.6666666666667,CEDA
2025-08-29,Potato,district,Hyderabad,Telangana,1450,2000,1775,CEDA
2025-08-30,Potato,district,Hyderabad,Telangana,1433.3333333333333,2033.3333333333333,1766.6666666666667,CEDA
2025-08-31,Potato,district,Hyderabad,Telangana,1366.6666666666667,2000,1733.3333333333333,CEDA
2025-09-01,Potato,district,Hyderabad,Telangana,1475,2000,1750,CEDA
2025-09-02,Potato,district,Hyderabad,Telangana,1300,1875,1650,CEDA
2025-09-03,Potato,district,Hyderabad,Telangana,1300,2000,1750,CEDA
2025-09-04,Potato,district,Hyderabad,Telangana,1400,1950,1775,CEDA
2025-09-05,Potato,district,Hyderabad,Telangana,1000,1950,1600,CEDA
2025-09-06,Potato,district,Hyderabad,Telangana,1100,1950,1500,CEDA
2025-09-07,Potato,district,Hyderabad,Telangana,1233.3333333333333,1800,1566.6666666666667,CEDA
